3872386,JesusDBurgos,Añadir condicional para añadir si el producto no tiene foto, o editarla si ya tiene foto,Thu Sep 14 10:57:59 2023 -0500
4d1e904,JesusDBurgos,Error index schemas - Detalle mínimo eliminado,Thu Sep 14 10:33:55 2023 -0500
d2fbb6e,JesusDBurgos,Añadir endpoint para cargar imagenes,Thu Sep 14 10:07:58 2023 -0500
b886569,JesusDBurgos,Merge branch 'main' of https://github.com/JesusDBurgos/backend-viramsoft,Thu Sep 14 06:28:55 2023 -0500
18dd135,JesusDBurgos,Cambio de referencias de llave foranea en imagenes_productos,Thu Sep 14 06:27:55 2023 -0500
0118217,Jesus David Burgos Torres,Update requirements.txt,Thu Sep 14 06:22:25 2023 -0500
f5d496c,JesusDBurgos,Añadir endpoint de subir imagen,Wed Sep 13 11:27:22 2023 -0500
6cefef1,JesusDBurgos,Añadir modelo imagenes y detalles adicionales...,Tue Sep 12 23:07:55 2023 -0500
0626318,JesusDBurgos,Cambios en integridad referencial,Tue Sep 12 14:54:49 2023 -0500
2794c2b,JesusDBurgos,bug insertar pedido,Tue Sep 12 10:54:21 2023 -0500
4d20c84,Jesus David Burgos Torres,Update requirements.txt,Mon Sep 11 10:52:15 2023 -0500
c5d5e7d,Jesus David Burgos Torres,Update requirements.txt,Mon Sep 11 10:38:04 2023 -0500
9d80e3d,JesusDBurgos,Se agrega función async para consultar productos,Mon Sep 11 10:37:24 2023 -0500
0d717ec,JesusDBurgos,Revert "Actualización de endpint crear pedido ASYNC",Mon Sep 11 09:58:35 2023 -0500
556c236,JesusDBurgos,Revert "Merge branch 'main' of https://github.com/JesusDBurgos/backend-viramsoft",Mon Sep 11 09:57:51 2023 -0500
2c10bb7,JesusDBurgos,Merge branch 'main' of https://github.com/JesusDBurgos/backend-viramsoft,Mon Sep 11 09:39:39 2023 -0500
c222a18,JesusDBurgos,Actualización de endpint crear pedido ASYNC,Mon Sep 11 09:37:29 2023 -0500
9678a76,Jesus David Burgos Torres,Update requirements.txt,Mon Sep 11 09:36:48 2023 -0500
c2bee47,JesusDBurgos,Update pedidoModel.py,Tue Aug 15 00:37:44 2023 -0500
922a693,JesusDBurgos,detallito,Tue Aug 15 00:34:51 2023 -0500
32ab1dc,JesusDBurgos,Cambios en configuración de relaciones modelos,Tue Aug 15 00:30:06 2023 -0500
ceb6a0d,JesusDBurgos,Update detallePedModel.py,Tue Aug 15 00:19:31 2023 -0500
8bf4bf0,JesusDBurgos,Update pedidos.py,Tue Aug 15 00:12:44 2023 -0500
f9d7c15,JesusDBurgos,Update pedidos.py,Mon Aug 14 23:43:27 2023 -0500
2c0cde9,JesusDBurgos,Update pedidos.py,Mon Aug 14 23:18:07 2023 -0500
a65ff7a,JesusDBurgos,Update pedidos.py,Mon Aug 14 22:08:33 2023 -0500
8ed41d4,JesusDBurgos,Update pedidos.py,Mon Aug 14 21:44:56 2023 -0500
274831c,JesusDBurgos,Update pedidos.py,Mon Aug 14 21:35:49 2023 -0500
b00a57d,JesusDBurgos,Update pedidos.py,Mon Aug 14 21:13:47 2023 -0500
cdf5d19,JesusDBurgos,definir la list que contendra objetos para el orm,Mon Aug 14 20:54:47 2023 -0500
86c0a8c,JesusDBurgos,cambios en logica de inserccion objetos orm,Mon Aug 14 20:49:44 2023 -0500
ed0c3e4,JesusDBurgos,Update pedidos.py,Mon Aug 14 20:30:38 2023 -0500
8d981a8,JesusDBurgos,Correccion endpoint crear pedido,Mon Aug 14 18:12:28 2023 -0500
f81d099,JesusDBurgos,eliminar formato de moneda,Sat Aug 12 19:54:35 2023 -0500
730d799,JesusDBurgos,Update producto.py,Tue Aug 8 19:27:22 2023 -0500
ed22fea,JesusDBurgos,cambio en manejo del orm,Fri Aug 4 19:13:52 2023 -0500
0e28ee0,JesusDBurgos,Cambio en formatos de valores monetarios,Fri Aug 4 16:58:46 2023 -0500
edb6bc7,JesusDBurgos,Update producto.py,Fri Aug 4 12:34:01 2023 -0500
103440b,JesusDBurgos,Update producto.py,Thu Aug 3 11:21:39 2023 -0500
2219016,JesusDBurgos,Revert "Update producto.py",Thu Aug 3 11:21:09 2023 -0500
6d89154,JesusDBurgos,Revert "Update pedidos.py",Thu Aug 3 11:19:00 2023 -0500
801e80d,JesusDBurgos,Update producto.py,Thu Aug 3 11:06:27 2023 -0500
1ec48da,JesusDBurgos,Update producto.py,Thu Aug 3 10:55:31 2023 -0500
f67d505,JesusDBurgos,Update producto.py,Thu Aug 3 10:51:46 2023 -0500
ce06a83,JesusDBurgos,Update producto.py,Thu Aug 3 10:29:50 2023 -0500
4f1784c,JesusDBurgos,Update pedidos.py,Tue Aug 1 19:41:17 2023 -0500
